,stock_name,weekday,rise_ratio,fall_ratio,rise_mean,rise_median,rise_25%,rise_50%,rise_75%,fall_mean,fall_median,fall_25%,fall_50%,fall_75%
0,BABA_9988.HK,0,24.14,75.86,3.22,0.69,0.5,0.69,5.62,-2.33,-1.18,-3.37,-1.18,-0.41
1,BABA_9988.HK,1,44.83,55.17,3.67,2.78,1.55,2.78,3.83,-2.33,-2.49,-3.52,-2.49,-1.13
2,BABA_9988.HK,2,45.45,54.55,3.78,2.56,1.42,2.56,4.69,-2.37,-2.11,-3.54,-2.11,-1.32
3,BABA_9988.HK,3,47.06,52.94,3.36,3.47,2.11,3.47,4.09,-2.52,-2.19,-3.55,-2.19,-1.51
4,BABA_9988.HK,4,55.88,44.12,2.88,2.01,1.25,2.01,2.86,-2.42,-2.16,-3.14,-2.16,-1.53
5,BIDU_9888.HK,0,48.28,51.72,2.53,1.95,0.74,1.95,3.41,-3.04,-2.13,-3.01,-2.13,-1.19
6,BIDU_9888.HK,1,53.33,46.67,3.81,2.29,0.98,2.29,4.35,-2.44,-2.14,-3.48,-2.14,-1.12
7,BIDU_9888.HK,2,48.48,51.52,3.65,3.45,1.57,3.45,4.71,-2.75,-3.14,-3.63,-3.14,-2.19
8,BIDU_9888.HK,3,32.35,67.65,4.1,4.76,2.58,4.76,5.13,-2.69,-2.43,-3.73,-2.43,-0.76
9,BIDU_9888.HK,4,44.12,55.88,4.29,2.54,1.66,2.54,5.39,-2.75,-1.91,-4.51,-1.91,-0.68
10,JD_9618.HK,0,25.0,75.0,3.35,2.44,1.07,2.44,3.73,-2.97,-2.62,-3.55,-2.62,-1.43
11,JD_9618.HK,1,42.86,57.14,3.99,2.79,1.37,2.79,5.82,-2.42,-2.02,-2.86,-2.02,-0.77
12,JD_9618.HK,2,43.75,56.25,3.25,2.56,1.66,2.56,3.68,-2.74,-2.52,-4.31,-2.52,-1.23
13,JD_9618.HK,3,50.0,50.0,3.21,2.58,1.28,2.58,5.25,-2.71,-2.64,-3.66,-2.64,-1.53
14,JD_9618.HK,4,51.52,48.48,3.37,1.53,0.89,1.53,3.49,-2.97,-1.87,-3.87,-1.87,-0.87
15,MPNGY_3690.HK,0,51.72,48.28,1.72,1.34,0.86,1.34,2.4,-4.17,-2.81,-5.97,-2.81,-1.46
16,MPNGY_3690.HK,1,40.0,60.0,4.01,2.42,1.72,2.42,4.58,-2.48,-1.29,-3.32,-1.29,-0.37
17,MPNGY_3690.HK,2,45.45,54.55,3.21,3.15,1.58,3.15,4.97,-2.69,-2.62,-3.49,-2.62,-1.11
18,MPNGY_3690.HK,3,47.06,52.94,3.15,1.63,0.9,1.63,5.54,-2.03,-1.78,-2.83,-1.78,-0.59
19,MPNGY_3690.HK,4,44.12,55.88,3.65,3.07,1.49,3.07,4.91,-2.5,-2.15,-3.08,-2.15,-1.47
20,NTES_9999.HK,0,41.38,58.62,1.95,1.37,0.74,1.37,2.73,-2.41,-2.26,-2.93,-2.26,-1.76
21,NTES_9999.HK,1,50.0,50.0,2.78,1.75,0.47,1.75,3.71,-1.77,-1.36,-2.66,-1.36,-0.67
22,NTES_9999.HK,2,48.48,51.52,3.61,2.65,1.58,2.65,5.76,-1.83,-1.51,-2.67,-1.51,-0.89
23,NTES_9999.HK,3,38.24,61.76,3.29,3.73,2.29,3.73,4.12,-2.84,-2.08,-3.37,-2.08,-1.23
24,NTES_9999.HK,4,52.94,47.06,2.61,1.86,0.35,1.86,3.63,-2.85,-1.92,-3.83,-1.92,-1.36
25,LI_2015.HK,0,27.59,72.41,3.67,3.15,0.59,3.15,4.71,-2.98,-2.32,-3.95,-2.32,-1.18
26,LI_2015.HK,1,48.28,51.72,4.77,4.57,1.73,4.57,5.87,-2.83,-2.74,-4.18,-2.74,-1.45
27,LI_2015.HK,2,48.48,51.52,4.44,3.37,1.84,3.37,7.29,-3.01,-2.11,-4.89,-2.11,-1.02
28,LI_2015.HK,3,50.0,50.0,3.25,2.28,1.76,2.28,4.84,-2.85,-2.45,-3.56,-2.45,-1.91
29,LI_2015.HK,4,47.06,52.94,3.43,1.74,1.5,1.74,2.3,-4.51,-4.1,-5.02,-4.1,-1.99
30,XPEV_9868.HK,0,34.48,65.52,6.26,2.47,1.62,2.47,7.46,-3.79,-2.95,-4.24,-2.95,-1.76
31,XPEV_9868.HK,1,50.0,50.0,4.85,4.59,1.78,4.59,7.95,-3.54,-2.47,-5.3,-2.47,-2.02
32,XPEV_9868.HK,2,33.33,66.67,5.87,4.05,2.66,4.05,9.77,-4.57,-3.61,-7.04,-3.61,-1.86
33,XPEV_9868.HK,3,38.24,61.76,5.73,4.19,3.07,4.19,7.51,-3.92,-3.64,-5.18,-3.64,-1.47
34,XPEV_9868.HK,4,41.18,58.82,5.16,3.1,1.8,3.1,4.26,-4.11,-3.49,-4.77,-3.49,-2.19
35,BILI_9626.HK,0,37.93,62.07,6.06,2.61,1.7,2.61,7.59,-4.13,-3.4,-5.73,-3.4,-1.13
36,BILI_9626.HK,1,43.33,56.67,5.51,2.79,1.22,2.79,8.46,-4.17,-4.29,-5.42,-4.29,-2.33
37,BILI_9626.HK,2,51.52,48.48,4.24,2.79,1.49,2.79,6.15,-3.31,-3.32,-4.44,-3.32,-1.61
38,BILI_9626.HK,3,50.0,50.0,4.95,3.62,1.66,3.62,5.99,-3.98,-4.09,-5.96,-4.09,-2.17
39,BILI_9626.HK,4,38.24,61.76,6.03,2.8,1.6,2.8,10.32,-3.72,-2.46,-4.41,-2.46,-1.11
40,TCOM_9961.HK,0,35.71,64.29,3.13,3.74,1.13,3.74,4.95,-3.24,-2.33,-5.46,-2.33,-1.0
41,TCOM_9961.HK,1,60.0,40.0,3.23,2.62,1.07,2.62,3.45,-2.32,-1.92,-3.38,-1.92,-0.63
42,TCOM_9961.HK,2,43.75,56.25,3.52,2.92,1.42,2.92,5.09,-2.47,-2.31,-3.54,-2.31,-0.75
43,TCOM_9961.HK,3,52.94,47.06,2.89,2.42,1.83,2.42,4.21,-2.91,-3.24,-4.12,-3.24,-1.63
44,TCOM_9961.HK,4,55.88,44.12,3.78,2.48,1.48,2.48,3.85,-2.36,-2.09,-3.01,-2.09,-1.04
45,YUMC_9987.HK,0,41.38,58.62,2.48,2.85,0.85,2.85,3.56,-2.6,-2.33,-3.72,-2.33,-0.84
46,YUMC_9987.HK,1,53.33,46.67,2.56,1.89,1.57,1.89,3.09,-1.64,-1.56,-2.26,-1.56,-1.15
47,YUMC_9987.HK,2,45.45,54.55,3.1,2.0,1.32,2.0,3.83,-1.75,-1.47,-2.07,-1.47,-0.87
48,YUMC_9987.HK,3,44.12,55.88,2.08,2.47,1.03,2.47,3.13,-1.21,-0.87,-1.83,-0.87,-0.53
49,YUMC_9987.HK,4,52.94,47.06,2.36,2.06,0.97,2.06,3.81,-2.27,-2.39,-3.12,-2.39,-0.69
50,NIO_9866.HK,0,41.38,58.62,4.28,2.8,1.69,2.8,5.64,-4.09,-3.81,-5.49,-3.81,-2.59
51,NIO_9866.HK,1,48.28,51.72,4.83,3.76,1.42,3.76,6.12,-3.33,-3.72,-4.05,-3.72,-1.7
52,NIO_9866.HK,2,39.39,60.61,4.67,3.51,2.19,3.51,6.32,-3.78,-3.04,-5.27,-3.04,-1.65
53,NIO_9866.HK,3,47.06,52.94,4.74,4.22,2.15,4.22,6.34,-5.26,-4.94,-6.44,-4.94,-2.76
54,NIO_9866.HK,4,38.24,61.76,5.4,3.62,1.39,3.62,4.24,-3.78,-3.26,-4.14,-3.26,-2.01
55,EDU_9901.HK,0,41.38,58.62,3.8,4.03,1.71,4.03,6.02,-4.93,-4.97,-5.99,-4.97,-2.5
56,EDU_9901.HK,1,60.0,40.0,3.17,1.76,0.87,1.76,4.95,-3.78,-3.05,-4.8,-3.05,-2.11
57,EDU_9901.HK,2,54.55,45.45,3.79,3.55,0.71,3.55,5.72,-3.81,-3.26,-4.7,-3.26,-2.0
58,EDU_9901.HK,3,48.48,51.52,5.14,4.9,2.47,4.9,5.29,-3.5,-3.48,-4.47,-3.48,-2.04
59,EDU_9901.HK,4,61.76,38.24,4.38,3.54,1.91,3.54,6.81,-2.7,-2.58,-3.04,-2.58,-2.13
60,ZTO_2057.HK,0,48.28,51.72,2.38,1.68,0.71,1.68,3.92,-2.91,-2.32,-4.09,-2.32,-1.25
61,ZTO_2057.HK,1,55.17,44.83,2.68,2.03,1.14,2.03,3.99,-2.21,-1.82,-2.5,-1.82,-0.27
62,ZTO_2057.HK,2,54.55,45.45,2.27,1.69,1.08,1.69,3.64,-1.52,-1.33,-1.91,-1.33,-0.71
63,ZTO_2057.HK,3,40.62,59.38,1.74,1.88,0.99,1.88,2.2,-1.97,-1.35,-2.4,-1.35,-0.78
64,ZTO_2057.HK,4,50.0,50.0,2.31,1.26,1.08,1.26,2.43,-1.84,-1.67,-2.15,-1.67,-0.87
65,BEKE_2423.HK,0,44.83,55.17,5.37,4.18,3.07,4.18,8.05,-5.05,-5.08,-6.74,-5.08,-2.54
66,BEKE_2423.HK,1,48.28,51.72,4.16,2.46,1.61,2.46,4.91,-3.35,-2.58,-4.31,-2.58,-1.65
67,BEKE_2423.HK,2,54.55,45.45,4.0,3.1,1.83,3.1,5.97,-3.72,-3.48,-5.62,-3.48,-1.89
68,BEKE_2423.HK,3,46.88,53.12,3.09,2.57,1.57,2.57,4.67,-3.0,-2.43,-4.58,-2.43,-1.45
69,BEKE_2423.HK,4,57.58,42.42,3.91,3.1,1.14,3.1,4.59,-2.76,-2.93,-3.29,-2.93,-1.24
70,HTHT_1179.HK,0,33.33,66.67,3.69,3.63,1.21,3.63,4.82,-3.45,-3.01,-4.57,-3.01,-2.08
71,HTHT_1179.HK,1,51.72,48.28,4.08,2.32,1.32,2.32,4.16,-2.47,-1.88,-3.1,-1.88,-1.43
72,HTHT_1179.HK,2,41.94,58.06,4.18,2.93,2.11,2.93,5.91,-2.86,-3.09,-3.52,-3.09,-1.72
73,HTHT_1179.HK,3,42.42,57.58,3.12,3.5,1.78,3.5,4.45,-2.38,-1.73,-2.9,-1.73,-1.37
74,HTHT_1179.HK,4,55.88,44.12,3.62,2.42,0.94,2.42,3.73,-2.15,-1.87,-2.78,-1.87,-1.56
75,TME_1698.HK,0,41.67,58.33,4.61,4.33,1.75,4.33,6.05,-3.61,-2.6,-4.33,-2.6,-1.19
76,TME_1698.HK,1,50.0,50.0,3.44,2.34,1.16,2.34,4.15,-2.69,-1.83,-3.79,-1.83,-1.58
77,TME_1698.HK,2,41.67,58.33,6.98,3.32,2.56,3.32,7.49,-2.52,-1.87,-3.21,-1.87,-1.53
78,TME_1698.HK,3,50.0,50.0,3.24,3.04,1.86,3.04,3.62,-3.54,-2.92,-4.8,-2.92,-2.58
79,TME_1698.HK,4,66.67,33.33,4.01,3.31,2.08,3.31,6.68,-3.48,-3.44,-4.03,-3.44,-3.09
80,ZH_2390.HK,0,42.86,57.14,4.99,1.58,0.38,1.58,5.51,-4.08,-4.11,-6.29,-4.11,-1.58
81,ZH_2390.HK,1,41.38,58.62,2.72,1.68,1.35,1.68,3.9,-3.99,-3.28,-4.98,-3.28,-2.71
82,ZH_2390.HK,2,43.75,56.25,9.43,5.62,3.13,5.62,11.14,-3.64,-3.58,-4.69,-3.58,-2.17
83,ZH_2390.HK,3,47.06,52.94,3.75,2.28,0.74,2.28,5.45,-3.76,-2.65,-6.21,-2.65,-1.86
84,ZH_2390.HK,4,52.94,47.06,4.35,3.45,2.21,3.45,6.47,-4.0,-4.32,-5.6,-4.32,-2.63
85,QFIN_3660.HK,0,42.86,57.14,3.56,2.31,0.63,2.31,4.34,-2.05,-1.11,-3.98,-1.11,-0.6
86,QFIN_3660.HK,1,46.67,53.33,3.69,3.24,2.05,3.24,3.41,-2.36,-1.82,-2.88,-1.82,-0.99
87,QFIN_3660.HK,2,58.82,41.18,4.8,2.76,2.03,2.76,6.16,-2.96,-2.18,-4.2,-2.18,-1.35
88,QFIN_3660.HK,3,56.25,43.75,3.64,3.88,2.12,3.88,4.66,-2.74,-2.83,-3.04,-2.83,-2.37
89,QFIN_3660.HK,4,56.25,43.75,1.65,1.0,0.54,1.0,3.01,-3.41,-3.6,-4.23,-3.6,-1.88
90,TUYA_2391.HK,0,34.78,65.22,4.49,3.24,2.31,3.24,4.7,-3.44,-3.25,-5.16,-3.25,-0.45
91,TUYA_2391.HK,1,53.85,46.15,3.4,1.47,0.97,1.47,2.53,-2.39,-2.15,-2.69,-2.15,-1.12
92,TUYA_2391.HK,2,42.86,57.14,4.02,2.8,0.58,2.8,5.96,-2.83,-2.55,-3.55,-2.55,-1.42
93,TUYA_2391.HK,3,51.61,48.39,3.62,2.94,1.18,2.94,5.6,-3.68,-2.08,-4.42,-2.08,-1.51
94,TUYA_2391.HK,4,48.39,51.61,5.18,4.0,1.31,4.0,5.4,-3.75,-1.92,-3.33,-1.92,-0.6
95,ZLAB_9688.HK,0,40.74,59.26,6.59,5.36,2.37,5.36,7.57,-4.15,-4.16,-5.82,-4.16,-1.57
96,ZLAB_9688.HK,1,34.48,65.52,4.62,2.94,2.39,2.94,5.08,-3.76,-3.94,-4.6,-3.94,-1.59
97,ZLAB_9688.HK,2,54.55,45.45,4.41,3.44,0.91,3.44,6.59,-3.95,-4.19,-6.08,-4.19,-1.64
98,ZLAB_9688.HK,3,39.39,60.61,3.57,3.12,1.39,3.12,5.29,-3.17,-2.17,-3.99,-2.17,-1.09
99,ZLAB_9688.HK,4,44.12,55.88,6.14,4.24,1.48,4.24,7.99,-4.52,-3.7,-5.95,-3.7,-1.94
100,ATHM_2518.HK,0,48.15,51.85,2.63,1.73,0.79,1.73,3.83,-3.95,-2.99,-6.18,-2.99,-2.17
101,ATHM_2518.HK,1,35.71,64.29,3.12,2.8,1.83,2.8,4.52,-2.05,-2.24,-2.73,-2.24,-0.79
102,ATHM_2518.HK,2,50.0,50.0,3.91,3.26,2.1,3.26,4.57,-2.82,-2.58,-3.36,-2.58,-1.23
103,ATHM_2518.HK,3,47.06,52.94,2.49,2.16,0.73,2.16,3.93,-2.93,-1.39,-5.28,-1.39,-0.22
104,ATHM_2518.HK,4,67.65,32.35,2.49,1.96,0.8,1.96,3.69,-3.07,-2.33,-3.14,-2.33,-1.67
105,KC_3896.HK,0,27.27,72.73,4.19,5.45,2.94,5.45,6.07,-3.98,-3.54,-4.93,-3.54,-2.14
106,KC_3896.HK,1,50.0,50.0,3.68,3.56,1.84,3.56,4.43,-3.0,-2.16,-4.92,-2.16,-1.14
107,KC_3896.HK,2,66.67,33.33,9.66,4.41,2.69,4.41,14.24,-4.87,-4.46,-5.76,-4.46,-3.57
108,KC_3896.HK,3,61.54,38.46,6.35,5.05,3.65,5.05,9.27,-5.65,-6.67,-7.25,-6.67,-2.53
109,KC_3896.HK,4,69.23,30.77,6.84,4.35,4.18,4.35,8.21,-9.33,-9.85,-14.17,-9.85,-5.01
110,WB_9898.HK,0,44.83,55.17,2.93,1.82,0.94,1.82,4.39,-4.57,-4.78,-6.07,-4.78,-2.29
111,WB_9898.HK,1,55.17,44.83,2.62,1.42,0.37,1.42,3.52,-2.64,-2.1,-4.24,-2.1,-1.49
112,WB_9898.HK,2,56.25,43.75,3.96,2.74,1.65,2.74,5.53,-2.94,-2.56,-4.27,-2.56,-1.07
113,WB_9898.HK,3,44.12,55.88,4.8,3.88,2.97,3.88,7.72,-3.42,-1.81,-4.17,-1.81,-1.1
114,WB_9898.HK,4,50.0,50.0,4.42,3.45,1.72,3.45,7.52,-2.99,-2.7,-4.31,-2.7,-0.36
115,MNSO_9896.HK,0,41.38,58.62,5.29,3.84,1.52,3.84,6.68,-3.68,-3.73,-4.85,-3.73,-2.93
116,MNSO_9896.HK,1,65.52,34.48,3.99,1.56,1.0,1.56,3.43,-3.84,-3.33,-5.9,-3.33,-1.74
117,MNSO_9896.HK,2,48.39,51.61,5.73,2.99,2.29,2.99,7.7,-2.86,-2.38,-3.66,-2.38,-1.91
118,MNSO_9896.HK,3,60.61,39.39,3.07,1.7,0.97,1.7,4.85,-3.88,-3.0,-4.03,-3.0,-2.58
119,MNSO_9896.HK,4,42.42,57.58,6.13,4.71,2.16,4.71,9.39,-2.62,-3.1,-3.78,-3.1,-1.08
120,GDS_9698.HK,0,41.38,58.62,3.89,1.54,0.86,1.54,3.87,-5.35,-4.43,-6.15,-4.43,-2.85
121,GDS_9698.HK,1,44.83,55.17,3.9,1.55,0.52,1.55,4.9,-3.09,-3.29,-4.1,-3.29,-1.86
122,GDS_9698.HK,2,54.55,45.45,5.2,4.94,2.13,4.94,6.82,-5.2,-4.09,-6.89,-4.09,-3.17
123,GDS_9698.HK,3,45.45,54.55,5.32,4.45,1.43,4.45,9.15,-3.97,-3.26,-5.45,-3.26,-2.14
124,GDS_9698.HK,4,44.12,55.88,6.45,2.86,2.24,2.86,7.33,-4.42,-2.92,-5.97,-2.92,-1.65
